host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,description_length,host_about_length,bathroom,bathroom_type,host_verifications_count,amenities_count,days_joined
within a few hours,100,NA,FALSE,2,2,TRUE,Woodlands,North Region,1.44255,103.7958,apartment,Private room,1,1,1,80,180,360,180,180,360,360,180,360,30,60,90,365,1,0,0,94,10,10,10,10,8,8,FALSE,2,0,2,0,0.01,33,1000,326,1,Other,9,7,3726
a few days or more,0,NA,FALSE,1,1,TRUE,Bukit Timah,Central Region,1.33235,103.78521,apartment,Private room,2,1,1,80,90,730,90,90,730,730,90,730,30,60,90,365,18,0,0,91,9,10,10,10,9,9,FALSE,1,0,1,0,0.22,31,589,79,1,Other,8,12,3768
within a few hours,100,NA,FALSE,2,2,TRUE,Woodlands,North Region,1.44246,103.79667,apartment,Private room,1,1,1,66,6,14,6,6,14,14,6,14,30,60,90,365,20,0,0,98,10,10,10,10,8,9,FALSE,2,0,2,0,0.17,11,880,326,1,Other,9,8,3726
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34541,103.95712,villa,Private room,6,2,3,174,90,1125,90,90,1125,1125,90,1125,30,60,90,365,20,0,0,89,9,8,9,10,9,9,TRUE,8,0,8,0,0.18,35,1000,772,1,Private,5,25,3625
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34567,103.95963,house,Private room,3,1,1,80,90,1125,90,90,1125,1125,90,1125,30,60,90,365,24,0,0,83,8,8,9,9,8,8,TRUE,8,0,8,0,0.21,30,990,772,0.5,Shared,5,21,3625
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34702,103.96103,house,Private room,3,1,2,80,90,1125,90,90,1125,1125,90,1125,30,60,90,365,48,0,0,88,9,9,9,9,9,9,FALSE,8,0,8,0,0.4,26,996,772,0.5,Shared,5,16,3625
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34348,103.96337,house,Private room,6,1,7,203,1,120,11,12,1125,1125,11.9,1125,30,60,90,180,29,0,0,82,9,8,9,9,9,8,TRUE,8,0,8,0,0.25,32,772,772,1,Shared,5,22,3625
within a few hours,100,50,FALSE,6,6,TRUE,Newton,Central Region,1.31125,103.83816,apartment,Private room,2,1,1,72,90,1125,90,90,1125,1125,90,1125,30,60,90,365,133,0,0,89,9,9,9,10,9,9,FALSE,7,1,6,0,1.21,30,990,104,1,Shared,7,24,3300
a few days or more,40,27,FALSE,1,1,TRUE,Geylang,Central Region,1.31698,103.89,apartment,Private room,1,1,1,41,8,1125,8,8,1125,1125,8,1125,11,41,71,71,105,2,0,90,9,8,10,9,10,9,FALSE,1,0,1,0,1.19,48,1000,33,1,Other,5,16,3289
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34943,103.95951,house,Private room,1,1,1,46,90,365,90,90,1125,1125,90,1125,30,60,90,365,58,1,0,92,9,9,10,9,9,9,TRUE,8,0,8,0,0.54,32,548,772,1.5,Shared,5,27,3625
N/A,NA,NA,FALSE,1,1,TRUE,Geylang,Central Region,1.3142,103.90232,townhouse,Private room,2,1,1,65,90,1125,90,90,1125,1125,90,1125,23,53,83,173,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,47,683,NA,1,Shared,6,12,3242
within a few hours,100,50,FALSE,6,6,TRUE,Newton,Central Region,1.3115,103.83759,private room,Private room,2,1,1,69,90,1125,90,90,1125,1125,90,1125,30,60,90,365,81,0,0,90,9,9,10,10,9,9,FALSE,7,1,6,0,0.91,31,533,104,1,Other,7,24,3300
within a few hours,100,50,FALSE,6,6,TRUE,Novena,Central Region,1.31327,103.8398,townhouse,Private room,2,1,1,66,90,1125,90,90,1125,1125,90,1125,30,60,90,365,165,0,0,88,9,8,10,10,10,9,FALSE,7,1,6,0,1.54,27,999,104,1,Shared,7,22,3300
within an hour,100,NA,FALSE,1,1,FALSE,River Valley,Central Region,1.29345,103.83562,apartment,Private room,1,1,1,59,90,365,90,90,365,365,90,365,2,2,2,274,27,0,0,86,9,8,9,9,9,8,FALSE,1,0,1,0,0.3,36,999,206,0,Other,3,11,3209
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34838,103.9592,house,Private room,3,1,2,80,90,1125,90,90,1125,1125,90,1125,0,0,0,0,18,1,0,89,9,9,9,9,9,9,FALSE,8,0,8,0,0.18,31,999,772,1,Private,5,30,3625
within an hour,100,100,FALSE,1,1,TRUE,Serangoon,North-East Region,1.3628,103.86446,house,Private room,2,1,0,80,2,180,2,2,180,180,2,180,30,60,90,365,82,0,0,94,9,9,10,10,9,9,FALSE,1,0,1,0,0.78,49,999,627,1.5,Shared,6,7,3159
a few days or more,0,NA,FALSE,1,1,TRUE,Tampines,East Region,1.34657,103.95684,apartment,Private room,2,1,1,93,1,1125,1,1,1125,1125,1,1125,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,34,202,315,1,Other,7,6,3412
N/A,NA,NA,FALSE,1,1,FALSE,Tampines,East Region,1.34816,103.93238,apartment,Private room,2,1,1,37,180,730,180,180,730,730,180,730,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,34,995,86,1,Other,3,7,3152
within a few hours,100,100,TRUE,3,3,FALSE,Jurong West,West Region,1.34135,103.71139,condominium,Private room,1,1,1,54,90,730,90,90,730,730,90,730,30,60,90,365,30,2,0,92,10,9,10,10,9,9,FALSE,4,0,4,0,0.3,37,996,231,1,Shared,7,23,3414
a few days or more,0,NA,FALSE,1,1,TRUE,Bukit Timah,Central Region,1.33171,103.79383,apartment,Entire home/apt,2,2,1,264,4,90,4,4,90,90,4,90,27,57,87,362,11,0,0,91,9,8,10,10,9,9,FALSE,1,1,0,0,0.11,33,998,61,2,Other,6,19,3087
N/A,NA,50,FALSE,1,1,FALSE,Tampines,East Region,1.34153,103.95775,condominium,Private room,2,1,1,83,90,120,90,90,120,120,90,120,30,60,90,90,80,1,0,96,10,10,10,10,9,9,FALSE,1,0,1,0,1.01,48,999,122,2,Other,2,23,3460
N/A,NA,NA,FALSE,1,1,FALSE,Rochor,Central Region,1.30109,103.85234,apartment,Private room,2,1,1,159,180,730,180,180,730,730,180,730,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,34,998,127,2,Other,1,10,3067
N/A,NA,NA,FALSE,1,1,TRUE,Queenstown,Central Region,1.30816,103.79811,house,Private room,2,1,1,100,90,1125,90,90,1125,1125,90,1125,30,60,90,90,28,0,0,90,9,9,10,10,10,9,FALSE,1,0,1,0,0.28,37,998,194,1,Other,7,9,3367
N/A,NA,NA,FALSE,0,0,FALSE,Serangoon,North-East Region,1.36743,103.87288,apartment,Private room,1,1,1,26,180,365,180,180,365,365,180,365,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,21,997,171,1,Other,1,10,3005
a few days or more,29,100,FALSE,6,6,TRUE,Downtown Core,Central Region,1.27663,103.84521,condominium,Private room,4,1,1,119,4,1123,4,4,1123,1123,4,1123,23,53,83,358,72,0,0,93,9,9,9,10,10,9,TRUE,4,0,4,0,0.72,49,1000,23,1,Shared,6,27,2995
a few days or more,29,100,FALSE,6,6,TRUE,Downtown Core,Central Region,1.27585,103.84597,condominium,Private room,4,1,1,119,4,1124,4,4,1124,1124,4,1124,30,60,90,365,26,0,0,91,9,9,10,10,10,9,TRUE,4,0,4,0,0.26,49,1000,23,1,Shared,6,29,2995
within an hour,100,50,TRUE,5,5,TRUE,Marine Parade,Central Region,1.30416,103.90076,apartment,Private room,2,1,1,250,90,365,90,90,365,365,90,365,0,0,0,0,70,1,0,95,9,10,10,10,10,9,FALSE,4,2,2,0,0.71,19,728,631,1,Private,9,19,3280
